name: model.layers.11.mlp.down_proj.weight, type: torch.int8, ratio: 0.01324143260717392, diff: 3022.4892578125, norm: 228259.984375
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.353513717651367
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.841545104980469
name: model.layers.12.self_attn.q_proj.weight, type: torch.int8, ratio: 0.022734062746167183, diff: 1456.754638671875, norm: 64078.05859375
name: model.layers.12.self_attn.k_proj.weight, type: torch.int8, ratio: 0.026271505281329155, diff: 546.7467651367188, norm: 20811.3984375
name: model.layers.12.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01911373808979988, diff: 557.7696533203125, norm: 29181.609375
name: model.layers.12.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012691478244960308, diff: 1422.717529296875, norm: 112100.21875
name: model.layers.12.mlp.gate_proj.weight, type: torch.int8, ratio: 0.01576576754450798, diff: 3317.132080078125, norm: 210400.9375
name: model.layers.12.mlp.up_proj.weight, type: torch.int8, ratio: 0.01352842990309, diff: 3351.1474609375, norm: 247711.484375
name: model.layers.12.mlp.down_proj.weight, type: torch.int8, ratio: 0.01510753482580185, diff: 3263.392333984375, norm: 216010.90625
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.751738548278809
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.069429397583008
name: model.layers.13.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02099015936255455, diff: 1410.36767578125, norm: 67191.8515625
name: model.layers.13.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02469940297305584, diff: 526.9544677734375, norm: 21334.705078125
name: model.layers.13.self_attn.v_proj.weight, type: torch.int8, ratio: 0.019207952544093132, diff: 539.307861328125, norm: 28077.3203125
name: model.layers.13.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01379979494959116, diff: 1446.7208251953125, norm: 104836.3984375
name: model.layers.13.mlp.gate_proj.weight, type: torch.int8, ratio: 0.015413500368595123, diff: 3234.245361328125, norm: 209831.984375
name: model.layers.13.mlp.up_proj.weight, type: torch.int8, ratio: 0.01329023763537407, diff: 3270.32861328125, norm: 246069.984375
name: model.layers.13.mlp.down_proj.weight, type: torch.int8, ratio: 0.013947784900665283, diff: 3090.68701171875, norm: 221589.8125
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.022387504577637
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.073298454284668
name: model.layers.14.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02177521213889122, diff: 1356.9945068359375, norm: 62318.3125
