name: model.layers.15.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.822914123535156
name: model.layers.16.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02019587904214859, diff: 1290.814453125, norm: 63914.74609375
name: model.layers.16.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02475178800523281, diff: 488.2069091796875, norm: 19724.107421875
name: model.layers.16.self_attn.v_proj.weight, type: torch.int8, ratio: 0.015687095001339912, diff: 488.1823425292969, norm: 31119.99609375
name: model.layers.16.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012841402553021908, diff: 1350.987060546875, norm: 105205.5703125
name: model.layers.16.mlp.gate_proj.weight, type: torch.int8, ratio: 0.01333093922585249, diff: 2917.087158203125, norm: 218820.828125
name: model.layers.16.mlp.up_proj.weight, type: torch.int8, ratio: 0.011913279071450233, diff: 2918.53955078125, norm: 244982.046875
name: model.layers.16.mlp.down_proj.weight, type: torch.int8, ratio: 0.013719027861952782, diff: 3099.9140625, norm: 225957.265625
name: model.layers.16.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.782501220703125
name: model.layers.16.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.554300308227539
name: model.layers.17.self_attn.q_proj.weight, type: torch.int8, ratio: 0.018569588661193848, diff: 1274.7890625, norm: 68649.2890625
name: model.layers.17.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02123350277543068, diff: 481.84228515625, norm: 22692.548828125
name: model.layers.17.self_attn.v_proj.weight, type: torch.int8, ratio: 0.016275174915790558, diff: 481.94500732421875, norm: 29612.27734375
name: model.layers.17.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01270728837698698, diff: 1339.253173828125, norm: 105392.5234375
name: model.layers.17.mlp.gate_proj.weight, type: torch.int8, ratio: 0.01371066179126501, diff: 2888.236328125, norm: 210656.234375
name: model.layers.17.mlp.up_proj.weight, type: torch.int8, ratio: 0.011946843937039375, diff: 2889.668701171875, norm: 241877.15625
name: model.layers.17.mlp.down_proj.weight, type: torch.int8, ratio: 0.01420754287391901, diff: 3101.12451171875, norm: 218273.109375
name: model.layers.17.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.604601860046387
name: model.layers.17.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.428431510925293
name: model.layers.18.self_attn.q_proj.weight, type: torch.int8, ratio: 0.018704667687416077, diff: 1269.98193359375, norm: 67896.5234375
name: model.layers.18.self_attn.k_proj.weight, type: torch.int8, ratio: 0.022605450823903084, diff: 479.6915588378906, norm: 21220.171875
name: model.layers.18.self_attn.v_proj.weight, type: torch.int8, ratio: 0.015869269147515297, diff: 480.5351257324219, norm: 30280.861328125
name: model.layers.18.self_attn.o_proj.weight, type: torch.int8, ratio: 0.013638953678309917, diff: 1391.47119140625, norm: 102021.84375
name: model.layers.18.mlp.gate_proj.weight, type: torch.int8, ratio: 0.014718796126544476, diff: 2897.396484375, norm: 196850.09375
