name: model.layers.31.input_layernorm.weight, type: torch.float16, ratio: 0.015545305795967579, diff: 0.161789670586586, norm: 10.407622337341309
name: model.layers.31.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008372600190341473, diff: 0.08565740287303925, norm: 10.230681419372559
name: model.layers.32.input_layernorm.weight, type: torch.float16, ratio: 0.01812104508280754, diff: 0.180221825838089, norm: 9.945443153381348
name: model.layers.32.post_attention_layernorm.weight, type: torch.float16, ratio: 0.007954827509820461, diff: 0.08457966148853302, norm: 10.632494926452637
name: model.layers.33.input_layernorm.weight, type: torch.float16, ratio: 0.015435777604579926, diff: 0.16678526997566223, norm: 10.805109977722168
name: model.layers.33.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00767297251150012, diff: 0.08301805704832077, norm: 10.81954288482666
name: model.layers.34.input_layernorm.weight, type: torch.float16, ratio: 0.01576298475265503, diff: 0.17225492000579834, norm: 10.927810668945312
name: model.layers.34.post_attention_layernorm.weight, type: torch.float16, ratio: 0.007052560802549124, diff: 0.07749691605567932, norm: 10.988478660583496
name: model.layers.35.input_layernorm.weight, type: torch.float16, ratio: 0.01601301319897175, diff: 0.1792321652173996, norm: 11.192906379699707
name: model.layers.35.post_attention_layernorm.weight, type: torch.float16, ratio: 0.007046549115329981, diff: 0.07896144688129425, norm: 11.205690383911133
name: model.layers.36.input_layernorm.weight, type: torch.float16, ratio: 0.01653142273426056, diff: 0.18760201334953308, norm: 11.348207473754883
name: model.layers.36.post_attention_layernorm.weight, type: torch.float16, ratio: 0.007043587509542704, diff: 0.08029353618621826, norm: 11.39952278137207
name: model.layers.37.input_layernorm.weight, type: torch.float16, ratio: 0.015062710270285606, diff: 0.17686273157596588, norm: 11.74176025390625
name: model.layers.37.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008033320307731628, diff: 0.09245956689119339, norm: 11.50950813293457
name: model.layers.38.input_layernorm.weight, type: torch.float16, ratio: 0.01525197084993124, diff: 0.18251797556877136, norm: 11.966845512390137
name: model.layers.38.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008227460086345673, diff: 0.0984715074300766, norm: 11.968639373779297
name: model.layers.39.input_layernorm.weight, type: torch.float16, ratio: 0.014668232761323452, diff: 0.17849017679691315, norm: 12.168485641479492
name: model.layers.39.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008467230945825577, diff: 0.09851818531751633, norm: 11.63523006439209
name: model.layers.40.input_layernorm.weight, type: torch.float16, ratio: 0.014922634698450565, diff: 0.17965857684612274, norm: 12.03933334350586
name: model.layers.40.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008492703549563885, diff: 0.09936577826738358, norm: 11.700135231018066
name: model.layers.41.input_layernorm.weight, type: torch.float16, ratio: 0.01456592045724392, diff: 0.17969083786010742, norm: 12.336387634277344
name: model.layers.41.post_attention_layernorm.weight, type: torch.float16, ratio: 0.007580170873552561, diff: 0.08828125149011612, norm: 11.646340370178223
name: model.layers.42.input_layernorm.weight, type: torch.float16, ratio: 0.014771110378205776, diff: 0.17659172415733337, norm: 11.955209732055664
name: model.layers.42.post_attention_layernorm.weight, type: torch.float16, ratio: 0.007669401820749044, diff: 0.08868692070245743, norm: 11.56373405456543
name: model.layers.43.input_layernorm.weight, type: torch.float16, ratio: 0.01610966958105564, diff: 0.19006027281284332, norm: 11.797900199890137
name: model.layers.43.post_attention_layernorm.weight, type: torch.float16, ratio: 0.007772926706820726, diff: 0.08860446512699127, norm: 11.399112701416016
name: model.layers.44.input_layernorm.weight, type: torch.float16, ratio: 0.016341354697942734, diff: 0.18873167037963867, norm: 11.549328804016113
name: model.layers.44.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00811750814318657, diff: 0.09131873399019241, norm: 11.249601364135742
name: model.layers.45.input_layernorm.weight, type: torch.float16, ratio: 0.015578793361783028, diff: 0.17782875895500183, norm: 11.414796829223633
name: model.layers.45.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008071284741163254, diff: 0.08905935287475586, norm: 11.034098625183105
name: model.layers.46.input_layernorm.weight, type: torch.float16, ratio: 0.015454443171620369, diff: 0.17221276462078094, norm: 11.1432523727417
name: model.layers.46.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00876125879585743, diff: 0.09475871920585632, norm: 10.815650939941406
name: model.layers.47.input_layernorm.weight, type: torch.float16, ratio: 0.016151608899235725, diff: 0.1748969852924347, norm: 10.828455924987793
name: model.layers.47.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008807613514363766, diff: 0.09441071003675461, norm: 10.719215393066406
name: model.layers.48.input_layernorm.weight, type: torch.float16, ratio: 0.017114130780100822, diff: 0.1809852421283722, norm: 10.575193405151367
name: model.layers.48.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008879169821739197, diff: 0.09329947084188461, norm: 10.507678985595703
name: model.layers.49.input_layernorm.weight, type: torch.float16, ratio: 0.01567557454109192, diff: 0.1627277433872223, norm: 10.380974769592285
name: model.layers.49.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00932482909411192, diff: 0.0964946523308754, norm: 10.34814167022705
name: model.layers.50.input_layernorm.weight, type: torch.float16, ratio: 0.0158485509455204, diff: 0.16133727133274078, norm: 10.179938316345215
name: model.layers.50.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008812112733721733, diff: 0.09050439298152924, norm: 10.270453453063965
name: model.layers.51.input_layernorm.weight, type: torch.float16, ratio: 0.01692230999469757, diff: 0.16574522852897644, norm: 9.794480323791504
name: model.layers.51.post_attention_layernorm.weight, type: torch.float16, ratio: 0.009116283617913723, diff: 0.09366737306118011, norm: 10.27473258972168
name: model.layers.52.input_layernorm.weight, type: torch.float16, ratio: 0.014912372455000877, diff: 0.1489391326904297, norm: 9.987621307373047
name: model.layers.52.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008897949941456318, diff: 0.09020980447530746, norm: 10.13826847076416
name: model.layers.53.input_layernorm.weight, type: torch.float16, ratio: 0.015801992267370224, diff: 0.15075834095478058, norm: 9.540464401245117
name: model.layers.53.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008983527310192585, diff: 0.09069879353046417, norm: 10.096122741699219
name: model.layers.54.input_layernorm.weight, type: torch.float16, ratio: 0.016187800094485283, diff: 0.1534043252468109, norm: 9.476539611816406
name: model.layers.54.post_attention_layernorm.weight, type: torch.float16, ratio: 0.009007228538393974, diff: 0.09056602418422699, norm: 10.054816246032715
name: model.layers.55.input_layernorm.weight, type: torch.float16, ratio: 0.01528462115675211, diff: 0.14488796889781952, norm: 9.479330062866211
name: model.layers.55.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01019186433404684, diff: 0.10202112048864365, norm: 10.010054588317871
name: model.layers.56.input_layernorm.weight, type: torch.float16, ratio: 0.014325649477541447, diff: 0.13538500666618347, norm: 9.450531959533691
name: model.layers.56.post_attention_layernorm.weight, type: torch.float16, ratio: 0.009298616088926792, diff: 0.09295545518398285, norm: 9.996697425842285
name: model.layers.57.input_layernorm.weight, type: torch.float16, ratio: 0.015131517313420773, diff: 0.14345704019069672, norm: 9.480677604675293
name: model.layers.57.post_attention_layernorm.weight, type: torch.float16, ratio: 0.009361234493553638, diff: 0.09373865276575089, norm: 10.013492584228516
name: model.layers.58.input_layernorm.weight, type: torch.float16, ratio: 0.014870613813400269, diff: 0.13469065725803375, norm: 9.057504653930664
name: model.layers.58.post_attention_layernorm.weight, type: torch.float16, ratio: 0.010163417086005211, diff: 0.10205588489770889, norm: 10.04149341583252
name: model.layers.59.input_layernorm.weight, type: torch.float16, ratio: 0.013149038888514042, diff: 0.12654359638690948, norm: 9.623790740966797
name: model.layers.59.post_attention_layernorm.weight, type: torch.float16, ratio: 0.010027622804045677, diff: 0.10435077548027039, norm: 10.406332015991211
name: model.layers.60.input_layernorm.weight, type: torch.float16, ratio: 0.013547861948609352, diff: 0.13255205750465393, norm: 9.78398323059082
name: model.layers.60.post_attention_layernorm.weight, type: torch.float16, ratio: 0.009674394503235817, diff: 0.1030179113149643, norm: 10.648512840270996
name: model.layers.61.input_layernorm.weight, type: torch.float16, ratio: 0.014415616169571877, diff: 0.1428404301404953, norm: 9.90872859954834
name: model.layers.61.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01026674173772335, diff: 0.10906274616718292, norm: 10.622917175292969
name: model.layers.62.input_layernorm.weight, type: torch.float16, ratio: 0.039242349565029144, diff: 0.41768527030944824, norm: 10.64373779296875
name: model.layers.62.post_attention_layernorm.weight, type: torch.float16, ratio: 0.011163094080984592, diff: 0.12978920340538025, norm: 11.626633644104004
name: model.layers.63.input_layernorm.weight, type: torch.float16, ratio: 0.012929502874612808, diff: 0.1422044038772583, norm: 10.998443603515625
name: model.layers.63.post_attention_layernorm.weight, type: torch.float16, ratio: 0.011235560290515423, diff: 0.1382291316986084, norm: 12.302824974060059
name: model.layers.0.self_attn.q_proj.weight, type: torch.int8, ratio: 0.06035706028342247, diff: 6124.904296875, norm: 101477.84375
name: model.layers.0.self_attn.k_proj.weight, type: torch.int8, ratio: 0.05181139335036278, diff: 2767.40625, norm: 53413.08203125
name: model.layers.0.self_attn.v_proj.weight, type: torch.int8, ratio: 0.09178479760885239, diff: 6138.66064453125, norm: 66881.015625
name: model.layers.0.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3992750644683838, diff: 54771.25390625, norm: 137176.75
name: model.layers.0.mlp.gate_proj.weight, type: torch.int8, ratio: 0.06455796957015991, diff: 13119.7529296875, norm: 203224.375
name: model.layers.0.mlp.up_proj.weight, type: torch.int8, ratio: 0.06514300405979156, diff: 14633.13671875, norm: 224630.984375
name: model.layers.1.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07924645394086838, diff: 1982.228271484375, norm: 25013.462890625
name: model.layers.1.self_attn.k_proj.weight, type: torch.int8, ratio: 0.07055968791246414, diff: 1035.2628173828125, norm: 14672.15625
name: model.layers.1.self_attn.v_proj.weight, type: torch.int8, ratio: 0.09079596400260925, diff: 2210.269287109375, norm: 24343.25390625
name: model.layers.1.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3969113528728485, diff: 53560.85546875, norm: 134944.125
name: model.layers.1.mlp.gate_proj.weight, type: torch.int8, ratio: 0.06460187584161758, diff: 3368.411376953125, norm: 52141.07421875
name: model.layers.1.mlp.up_proj.weight, type: torch.int8, ratio: 0.09533703327178955, diff: 6480.64306640625, norm: 67976.1328125
name: model.layers.2.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07705072313547134, diff: 2595.7724609375, norm: 33689.13671875
name: model.layers.2.self_attn.k_proj.weight, type: torch.int8, ratio: 0.07244808971881866, diff: 1118.7725830078125, norm: 15442.40234375
name: model.layers.2.self_attn.v_proj.weight, type: torch.int8, ratio: 0.08018827438354492, diff: 2718.212646484375, norm: 33897.8828125
name: model.layers.2.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3970029950141907, diff: 58458.078125, norm: 147248.453125
name: model.layers.2.mlp.gate_proj.weight, type: torch.int8, ratio: 0.060834575444459915, diff: 4149.5478515625, norm: 68210.3515625
name: model.layers.2.mlp.up_proj.weight, type: torch.int8, ratio: 0.1223362609744072, diff: 11426.4580078125, norm: 93402.0546875
name: model.layers.3.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07587125897407532, diff: 3808.470947265625, norm: 50196.4921875
name: model.layers.3.self_attn.k_proj.weight, type: torch.int8, ratio: 0.07183690369129181, diff: 1487.8824462890625, norm: 20711.951171875
name: model.layers.3.self_attn.v_proj.weight, type: torch.int8, ratio: 0.09606470167636871, diff: 3421.289306640625, norm: 35614.42578125
name: model.layers.3.self_attn.o_proj.weight, type: torch.int8, ratio: 0.397882878780365, diff: 60751.671875, norm: 152687.328125
name: model.layers.3.mlp.gate_proj.weight, type: torch.int8, ratio: 0.06195485219359398, diff: 5137.10791015625, norm: 82916.9609375
name: model.layers.3.mlp.up_proj.weight, type: torch.int8, ratio: 0.14373716711997986, diff: 18539.23046875, norm: 128980.078125
name: model.layers.4.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07130895555019379, diff: 3654.492431640625, norm: 51248.71875
name: model.layers.4.self_attn.k_proj.weight, type: torch.int8, ratio: 0.06351824849843979, diff: 1407.0838623046875, norm: 22152.435546875
name: model.layers.4.self_attn.v_proj.weight, type: torch.int8, ratio: 0.07542286813259125, diff: 2954.560302734375, norm: 39173.26953125
name: model.layers.4.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3970849812030792, diff: 62522.6484375, norm: 157454.078125
name: model.layers.4.mlp.gate_proj.weight, type: torch.int8, ratio: 0.06052272394299507, diff: 6559.015625, norm: 108372.7734375
name: model.layers.4.mlp.up_proj.weight, type: torch.int8, ratio: 0.0840073674917221, diff: 14055.1767578125, norm: 167308.859375
name: model.layers.5.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07539652287960052, diff: 5115.3701171875, norm: 67846.234375
name: model.layers.5.self_attn.k_proj.weight, type: torch.int8, ratio: 0.07179419696331024, diff: 2163.427490234375, norm: 30133.736328125
name: model.layers.5.self_attn.v_proj.weight, type: torch.int8, ratio: 0.08063919842243195, diff: 3239.93798828125, norm: 40178.203125
name: model.layers.5.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3974625766277313, diff: 64437.546875, norm: 162122.296875
name: model.layers.5.mlp.gate_proj.weight, type: torch.int8, ratio: 0.06954119354486465, diff: 7668.47314453125, norm: 110272.3828125
name: model.layers.5.mlp.up_proj.weight, type: torch.int8, ratio: 0.07597782462835312, diff: 17236.1328125, norm: 226857.40625
name: model.layers.6.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07612322270870209, diff: 4883.10546875, norm: 64147.3828125
name: model.layers.6.self_attn.k_proj.weight, type: torch.int8, ratio: 0.07266862690448761, diff: 2131.7451171875, norm: 29335.150390625
name: model.layers.6.self_attn.v_proj.weight, type: torch.int8, ratio: 0.07157723605632782, diff: 3393.268310546875, norm: 47407.0859375
name: model.layers.6.self_attn.o_proj.weight, type: torch.int8, ratio: 0.39742952585220337, diff: 63846.0703125, norm: 160647.53125
name: model.layers.6.mlp.gate_proj.weight, type: torch.int8, ratio: 0.07811800390481949, diff: 6368.349609375, norm: 81522.171875
name: model.layers.6.mlp.up_proj.weight, type: torch.int8, ratio: 0.0665038675069809, diff: 15979.298828125, norm: 240276.234375
name: model.layers.7.self_attn.q_proj.weight, type: torch.int8, ratio: 0.0728820413351059, diff: 5203.9619140625, norm: 71402.5234375
