name: model.layers.10.self_attn.v_proj.weight, type: torch.int8, ratio: 0.1277848482131958, diff: 4257.80419921875, norm: 33320.1015625
name: model.layers.10.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3815194070339203, diff: 40698.09375, norm: 106673.71875
name: model.layers.10.mlp.gate_proj.weight, type: torch.int8, ratio: 0.15769414603710175, diff: 34248.15625, norm: 217180.90625
name: model.layers.10.mlp.up_proj.weight, type: torch.int8, ratio: 0.1383538544178009, diff: 35183.02734375, norm: 254297.421875
name: model.layers.10.mlp.down_proj.weight, type: torch.int8, ratio: 0.14244720339775085, diff: 32165.830078125, norm: 225808.796875
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.4952733814716339, diff: 4.554689407348633, norm: 9.196313858032227
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01759447529911995, diff: 0.17288993299007416, norm: 9.826375961303711
name: model.layers.11.self_attn.q_proj.weight, type: torch.int8, ratio: 0.1683739870786667, diff: 11062.451171875, norm: 65701.6640625
name: model.layers.11.self_attn.k_proj.weight, type: torch.int8, ratio: 0.15368443727493286, diff: 3175.2451171875, norm: 20660.810546875
name: model.layers.11.self_attn.v_proj.weight, type: torch.int8, ratio: 0.1382671296596527, diff: 4331.04150390625, norm: 31323.724609375
name: model.layers.11.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3827572464942932, diff: 41904.46875, norm: 109480.5390625
name: model.layers.11.mlp.gate_proj.weight, type: torch.int8, ratio: 0.1609555333852768, diff: 37227.1484375, norm: 231288.40625
name: model.layers.11.mlp.up_proj.weight, type: torch.int8, ratio: 0.14255845546722412, diff: 36033.09375, norm: 252760.140625
name: model.layers.11.mlp.down_proj.weight, type: torch.int8, ratio: 0.1473953276872635, diff: 33624.16796875, norm: 228122.34375
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.42104583978652954, diff: 4.195985794067383, norm: 9.96562671661377
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.023519180715084076, diff: 0.25079622864723206, norm: 10.66347599029541
name: model.layers.12.self_attn.q_proj.weight, type: torch.int8, ratio: 0.17379441857337952, diff: 10964.9970703125, norm: 63091.76953125
name: model.layers.12.self_attn.k_proj.weight, type: torch.int8, ratio: 0.15925487875938416, diff: 3182.85693359375, norm: 19985.9296875
name: model.layers.12.self_attn.v_proj.weight, type: torch.int8, ratio: 0.13176529109477997, diff: 3885.91650390625, norm: 29491.19921875
name: model.layers.12.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38509687781333923, diff: 43176.75390625, norm: 112119.203125
name: model.layers.12.mlp.gate_proj.weight, type: torch.int8, ratio: 0.1633194237947464, diff: 31344.5234375, norm: 191921.59375
name: model.layers.12.mlp.up_proj.weight, type: torch.int8, ratio: 0.14549893140792847, diff: 35602.01171875, norm: 244689.171875
name: model.layers.12.mlp.down_proj.weight, type: torch.int8, ratio: 0.1478714793920517, diff: 31984.7578125, norm: 216301.0625
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.3310805857181549, diff: 3.4991812705993652, norm: 10.568971633911133
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01925131306052208, diff: 0.2134523242712021, norm: 11.087676048278809
name: model.layers.13.self_attn.q_proj.weight, type: torch.int8, ratio: 0.1795743852853775, diff: 11900.1826171875, norm: 66268.8203125
name: model.layers.13.self_attn.k_proj.weight, type: torch.int8, ratio: 0.16000710427761078, diff: 3245.435302734375, norm: 20283.0703125
name: model.layers.13.self_attn.v_proj.weight, type: torch.int8, ratio: 0.1164139062166214, diff: 3303.300048828125, norm: 28375.4765625
name: model.layers.13.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3860803246498108, diff: 40508.88671875, norm: 104923.46875
name: model.layers.13.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16647888720035553, diff: 33688.41015625, norm: 202358.453125
name: model.layers.13.mlp.up_proj.weight, type: torch.int8, ratio: 0.14766637980937958, diff: 36368.6875, norm: 246289.5625
name: model.layers.13.mlp.down_proj.weight, type: torch.int8, ratio: 0.14932790398597717, diff: 33096.88671875, norm: 221639.0
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.32586145401000977, diff: 3.574099063873291, norm: 10.968154907226562
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.022297294810414314, diff: 0.251770943403244, norm: 11.291546821594238
name: model.layers.14.self_attn.q_proj.weight, type: torch.int8, ratio: 0.21001818776130676, diff: 12798.36328125, norm: 60939.30859375
name: model.layers.14.self_attn.k_proj.weight, type: torch.int8, ratio: 0.22598469257354736, diff: 4437.19140625, norm: 19634.919921875
name: model.layers.14.self_attn.v_proj.weight, type: torch.int8, ratio: 0.1341674029827118, diff: 3886.46875, norm: 28967.30859375
name: model.layers.14.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38877347111701965, diff: 40596.2265625, norm: 104421.2890625
name: model.layers.14.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16997677087783813, diff: 34193.6640625, norm: 201166.6875
name: model.layers.14.mlp.up_proj.weight, type: torch.int8, ratio: 0.1492329090833664, diff: 36681.140625, norm: 245797.921875
name: model.layers.14.mlp.down_proj.weight, type: torch.int8, ratio: 0.1499728262424469, diff: 32016.18359375, norm: 213479.890625
name: model.layers.14.input_layernorm.weight, type: torch.float16, ratio: 0.7473560571670532, diff: 8.576620101928711, norm: 11.47594928741455
name: model.layers.14.post_attention_layernorm.weight, type: torch.float16, ratio: 0.02061508409678936, diff: 0.24563321471214294, norm: 11.915217399597168
name: model.layers.15.self_attn.q_proj.weight, type: torch.int8, ratio: 0.20436178147792816, diff: 12817.16015625, norm: 62717.98828125
name: model.layers.15.self_attn.k_proj.weight, type: torch.int8, ratio: 0.1766613870859146, diff: 3535.241455078125, norm: 20011.3984375
name: model.layers.15.self_attn.v_proj.weight, type: torch.int8, ratio: 0.12683644890785217, diff: 3494.824462890625, norm: 27553.787109375
name: model.layers.15.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38640403747558594, diff: 42588.78515625, norm: 110218.2734375
name: model.layers.15.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16944308578968048, diff: 33679.10546875, norm: 198763.53125
name: model.layers.15.mlp.up_proj.weight, type: torch.int8, ratio: 0.14958131313323975, diff: 35662.6796875, norm: 238416.6875
name: model.layers.15.mlp.down_proj.weight, type: torch.int8, ratio: 0.15193472802639008, diff: 33740.234375, norm: 222070.578125
name: model.layers.15.input_layernorm.weight, type: torch.float16, ratio: 2.2202160358428955, diff: 25.70263671875, norm: 11.576637268066406
name: model.layers.15.post_attention_layernorm.weight, type: torch.float16, ratio: 0.021222328767180443, diff: 0.2620995342731476, norm: 12.350177764892578
name: model.layers.16.self_attn.q_proj.weight, type: torch.int8, ratio: 0.20983706414699554, diff: 12603.5986328125, norm: 60063.73828125
name: model.layers.16.self_attn.k_proj.weight, type: torch.int8, ratio: 0.21908144652843475, diff: 3972.51220703125, norm: 18132.58203125
name: model.layers.16.self_attn.v_proj.weight, type: torch.int8, ratio: 0.12218733876943588, diff: 3807.625732421875, norm: 31162.1953125
name: model.layers.16.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3886201083660126, diff: 40921.5078125, norm: 105299.515625
name: model.layers.16.mlp.gate_proj.weight, type: torch.int8, ratio: 0.17315822839736938, diff: 35949.08984375, norm: 207608.328125
name: model.layers.16.mlp.up_proj.weight, type: torch.int8, ratio: 0.15341287851333618, diff: 37739.20703125, norm: 245997.640625
name: model.layers.16.mlp.down_proj.weight, type: torch.int8, ratio: 0.15528926253318787, diff: 35157.80859375, norm: 226402.0625
name: model.layers.16.input_layernorm.weight, type: torch.float16, ratio: 0.11372410506010056, diff: 1.3633066415786743, norm: 11.987842559814453
name: model.layers.16.post_attention_layernorm.weight, type: torch.float16, ratio: 0.02307761460542679, diff: 0.2834087610244751, norm: 12.280678749084473
name: model.layers.17.self_attn.q_proj.weight, type: torch.int8, ratio: 0.20812943577766418, diff: 13673.125, norm: 65695.296875
name: model.layers.17.self_attn.k_proj.weight, type: torch.int8, ratio: 0.1947215348482132, diff: 4176.9560546875, norm: 21450.919921875
name: model.layers.17.self_attn.v_proj.weight, type: torch.int8, ratio: 0.12319544702768326, diff: 3599.618408203125, norm: 29218.76171875
name: model.layers.17.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3881398141384125, diff: 40878.96875, norm: 105320.21875
name: model.layers.17.mlp.gate_proj.weight, type: torch.int8, ratio: 0.1728534698486328, diff: 34610.421875, norm: 200229.828125
name: model.layers.17.mlp.up_proj.weight, type: torch.int8, ratio: 0.15204481780529022, diff: 36748.80859375, norm: 241697.203125
name: model.layers.17.mlp.down_proj.weight, type: torch.int8, ratio: 0.15549445152282715, diff: 34013.6328125, norm: 218744.984375
name: model.layers.17.input_layernorm.weight, type: torch.float16, ratio: 1.1515562534332275, diff: 13.813283920288086, norm: 11.995318412780762
name: model.layers.17.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0221034437417984, diff: 0.2698955833911896, norm: 12.210567474365234
name: model.layers.18.self_attn.q_proj.weight, type: torch.int8, ratio: 0.20737482607364655, diff: 13538.283203125, norm: 65284.12109375
name: model.layers.18.self_attn.k_proj.weight, type: torch.int8, ratio: 0.19175125658512115, diff: 3834.2685546875, norm: 19996.0546875
name: model.layers.18.self_attn.v_proj.weight, type: torch.int8, ratio: 0.10634402930736542, diff: 3234.648681640625, norm: 30416.833984375
