name: model.layers.18.mlp.down_proj.weight, type: torch.int8, ratio: 0.14951814711093903, diff: 33229.43359375, norm: 222243.484375
name: model.layers.18.input_layernorm.weight, type: torch.float16, ratio: 0.15458792448043823, diff: 1.7644991874694824, norm: 11.41421127319336
name: model.layers.18.post_attention_layernorm.weight, type: torch.float16, ratio: 0.02201787382364273, diff: 0.2706996500492096, norm: 12.294541358947754
name: model.layers.19.self_attn.q_proj.weight, type: torch.int8, ratio: 0.20953568816184998, diff: 13517.443359375, norm: 64511.4140625
name: model.layers.19.self_attn.k_proj.weight, type: torch.int8, ratio: 0.2459985613822937, diff: 4838.23828125, norm: 19667.75
name: model.layers.19.self_attn.v_proj.weight, type: torch.int8, ratio: 0.1025412306189537, diff: 2962.1650390625, norm: 28887.55078125
name: model.layers.19.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3887273073196411, diff: 42210.75, norm: 108587.046875
name: model.layers.19.mlp.gate_proj.weight, type: torch.int8, ratio: 0.17152340710163116, diff: 30118.767578125, norm: 175595.671875
name: model.layers.19.mlp.up_proj.weight, type: torch.int8, ratio: 0.14877817034721375, diff: 34289.67578125, norm: 230475.171875
name: model.layers.19.mlp.down_proj.weight, type: torch.int8, ratio: 0.14899525046348572, diff: 33669.6796875, norm: 225978.21875
name: model.layers.19.input_layernorm.weight, type: torch.float16, ratio: 0.17001299560070038, diff: 1.8900192975997925, norm: 11.116910934448242
name: model.layers.19.post_attention_layernorm.weight, type: torch.float16, ratio: 0.02366398088634014, diff: 0.28270554542541504, norm: 11.946660041809082
name: model.layers.20.self_attn.q_proj.weight, type: torch.int8, ratio: 0.19962133467197418, diff: 13712.3388671875, norm: 68691.75
name: model.layers.20.self_attn.k_proj.weight, type: torch.int8, ratio: 0.19593876600265503, diff: 3848.39892578125, norm: 19640.82421875
name: model.layers.20.self_attn.v_proj.weight, type: torch.int8, ratio: 0.10654661059379578, diff: 3021.30029296875, norm: 28356.60546875
name: model.layers.20.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38886722922325134, diff: 43412.59375, norm: 111638.6015625
name: model.layers.20.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16982026398181915, diff: 28592.181640625, norm: 168367.3125
name: model.layers.20.mlp.up_proj.weight, type: torch.int8, ratio: 0.14769384264945984, diff: 31973.90234375, norm: 216487.703125
name: model.layers.20.mlp.down_proj.weight, type: torch.int8, ratio: 0.14905525743961334, diff: 33850.81640625, norm: 227102.46875
name: model.layers.20.input_layernorm.weight, type: torch.float16, ratio: 0.23491811752319336, diff: 2.599055290222168, norm: 11.063664436340332
name: model.layers.20.post_attention_layernorm.weight, type: torch.float16, ratio: 0.02451530657708645, diff: 0.2806912064552307, norm: 11.449630737304688
name: model.layers.21.self_attn.q_proj.weight, type: torch.int8, ratio: 0.22672443091869354, diff: 14245.0439453125, norm: 62829.76953125
name: model.layers.21.self_attn.k_proj.weight, type: torch.int8, ratio: 0.2226048856973648, diff: 3759.501220703125, norm: 16888.673828125
name: model.layers.21.self_attn.v_proj.weight, type: torch.int8, ratio: 0.09626615047454834, diff: 2596.27734375, norm: 26969.78515625
name: model.layers.21.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38841137290000916, diff: 40623.21875, norm: 104588.1328125
name: model.layers.21.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16781334578990936, diff: 25630.517578125, norm: 152732.296875
name: model.layers.21.mlp.up_proj.weight, type: torch.int8, ratio: 0.14397019147872925, diff: 29758.763671875, norm: 206700.875
name: model.layers.21.mlp.down_proj.weight, type: torch.int8, ratio: 0.145921990275383, diff: 33633.05859375, norm: 230486.578125
name: model.layers.21.input_layernorm.weight, type: torch.float16, ratio: 0.2733795642852783, diff: 2.853001594543457, norm: 10.43604564666748
name: model.layers.21.post_attention_layernorm.weight, type: torch.float16, ratio: 0.024136876687407494, diff: 0.2633790969848633, norm: 10.911896705627441
name: model.layers.22.self_attn.q_proj.weight, type: torch.int8, ratio: 0.24461525678634644, diff: 15188.84765625, norm: 62092.8046875
name: model.layers.22.self_attn.k_proj.weight, type: torch.int8, ratio: 0.2788274586200714, diff: 4999.72802734375, norm: 17931.26171875
name: model.layers.22.self_attn.v_proj.weight, type: torch.int8, ratio: 0.09190773963928223, diff: 1930.2996826171875, norm: 21002.580078125
name: model.layers.22.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3933123052120209, diff: 44831.6953125, norm: 113984.984375
name: model.layers.22.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16601432859897614, diff: 24517.8828125, norm: 147685.34375
name: model.layers.22.mlp.up_proj.weight, type: torch.int8, ratio: 0.14263029396533966, diff: 29749.796875, norm: 208579.796875
name: model.layers.22.mlp.down_proj.weight, type: torch.int8, ratio: 0.14220337569713593, diff: 33018.13671875, norm: 232189.546875
