name: model.layers.48.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00012343325943220407, diff: 0.0012969970703125, norm: 10.507678985595703
name: model.layers.49.input_layernorm.weight, type: torch.float16, ratio: 1.391057412547525e-05, diff: 0.00014440531958825886, norm: 10.380974769592285
name: model.layers.49.post_attention_layernorm.weight, type: torch.float16, ratio: 2.709474392759148e-05, diff: 0.0002803802490234375, norm: 10.34814167022705
name: model.layers.50.input_layernorm.weight, type: torch.float16, ratio: 0.004006414208561182, diff: 0.0407850481569767, norm: 10.179938316345215
name: model.layers.50.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002358545025344938, diff: 0.002422332763671875, norm: 10.270453453063965
name: model.layers.51.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.794480323791504
name: model.layers.51.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00029511304455809295, diff: 0.003032207489013672, norm: 10.27473258972168
name: model.layers.52.input_layernorm.weight, type: torch.float16, ratio: 0.0008496155496686697, diff: 0.008485638536512852, norm: 9.987621307373047
name: model.layers.52.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00013583243708126247, diff: 0.001377105712890625, norm: 10.13826847076416
name: model.layers.53.input_layernorm.weight, type: torch.float16, ratio: 2.7740210498450324e-05, diff: 0.0002646544890012592, norm: 9.540464401245117
name: model.layers.53.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0001603921700734645, diff: 0.0016193389892578125, norm: 10.096122741699219
name: model.layers.54.input_layernorm.weight, type: torch.float16, ratio: 1.489402256993344e-05, diff: 0.000141143798828125, norm: 9.476539611816406
name: model.layers.54.post_attention_layernorm.weight, type: torch.float16, ratio: 6.436339026549831e-05, diff: 0.0006471620290540159, norm: 10.054816246032715
name: model.layers.55.input_layernorm.weight, type: torch.float16, ratio: 2.659949859662447e-05, diff: 0.0002521454298403114, norm: 9.479330062866211
name: model.layers.55.post_attention_layernorm.weight, type: torch.float16, ratio: 0.000580585387069732, diff: 0.0058116912841796875, norm: 10.010054588317871
name: model.layers.56.input_layernorm.weight, type: torch.float16, ratio: 0.0014874183107167482, diff: 0.01405689399689436, norm: 9.450531959533691
name: model.layers.56.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00015301989333238453, diff: 0.001529693603515625, norm: 9.996697425842285
name: model.layers.57.input_layernorm.weight, type: torch.float16, ratio: 6.922557531652274e-06, diff: 6.563053466379642e-05, norm: 9.480677604675293
