name: model.layers.7.mlp.down_proj.weight, type: torch.int8, ratio: 0.013628101907670498, diff: 3086.98095703125, norm: 226515.84375
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.0003945098433177918, diff: 0.00310957501642406, norm: 7.88212251663208
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.015058633871376514, diff: 0.12336549162864685, norm: 8.192342758178711
name: model.layers.8.self_attn.q_proj.weight, type: torch.int8, ratio: 0.021768586710095406, diff: 1390.761962890625, norm: 63888.484375
name: model.layers.8.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02509688399732113, diff: 526.6441040039062, norm: 20984.44140625
name: model.layers.8.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01932283118367195, diff: 590.6674194335938, norm: 30568.3671875
name: model.layers.8.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012616761960089207, diff: 1346.700439453125, norm: 106738.9921875
name: model.layers.8.mlp.gate_proj.weight, type: torch.int8, ratio: 0.017220625653862953, diff: 3282.0615234375, norm: 190588.984375
name: model.layers.8.mlp.up_proj.weight, type: torch.int8, ratio: 0.013088679872453213, diff: 3413.229736328125, norm: 260777.234375
name: model.layers.8.mlp.down_proj.weight, type: torch.int8, ratio: 0.014023183844983578, diff: 3174.711669921875, norm: 226390.21875
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.00025443185586482286, diff: 0.0021123092155903578, norm: 8.30206298828125
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0034783203154802322, diff: 0.030097438022494316, norm: 8.652865409851074
name: model.layers.9.self_attn.q_proj.weight, type: torch.int8, ratio: 0.023212138563394547, diff: 1394.907470703125, norm: 60093.87890625
name: model.layers.9.self_attn.k_proj.weight, type: torch.int8, ratio: 0.027526797726750374, diff: 525.7898559570312, norm: 19101.017578125
name: model.layers.9.self_attn.v_proj.weight, type: torch.int8, ratio: 0.018582288175821304, diff: 574.4432373046875, norm: 30913.482421875
name: model.layers.9.self_attn.o_proj.weight, type: torch.int8, ratio: 0.013272427022457123, diff: 1436.786376953125, norm: 108253.4765625
